Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-02-02,1.011836,1.014473,1.014234,1.013953
2015-02-03,1.021838,1.028787,1.029590,1.028501
2015-02-04,1.020939,1.025130,1.025905,1.025013
2015-02-05,1.030973,1.035583,1.037151,1.035760
2015-02-06,1.023897,1.033842,1.035374,1.033743
2015-02-09,1.018810,1.031053,1.033472,1.031479
2015-02-10,1.033442,1.039848,1.043352,1.041222
2015-02-11,1.037878,1.040303,1.044607,1.042570
2015-02-12,1.043513,1.046841,1.055412,1.051489
2015-02-13,1.045106,1.051475,1.058831,1.054526
2015-02-17,1.047190,1.050723,1.060212,1.055513
2015-02-18,1.047124,1.049327,1.057162,1.052938
2015-02-19,1.046922,1.047411,1.054075,1.049926
2015-02-20,1.055244,1.050001,1.061021,1.055914
2015-02-23,1.065512,1.048104,1.062166,1.057265
2015-02-24,1.065113,1.052850,1.066063,1.060754
2015-02-25,1.059417,1.052294,1.064262,1.058989
2015-02-26,1.063163,1.052518,1.064400,1.059369
2015-02-27,1.060662,1.052794,1.061609,1.057523
2015-03-02,1.070731,1.055479,1.068322,1.063563
2015-03-03,1.061147,1.050743,1.062539,1.058086
2015-03-04,1.059332,1.043933,1.057375,1.052367
2015-03-05,1.063098,1.045230,1.058688,1.053341
2015-03-06,1.047938,1.025583,1.041411,1.035969
2015-03-09,1.057677,1.025552,1.046664,1.040541
2015-03-10,1.043289,1.013506,1.031202,1.025068
2015-03-11,1.037102,1.012014,1.029203,1.022600
2015-03-12,1.046732,1.025453,1.041511,1.035372
2015-03-13,1.043860,1.019447,1.036506,1.030094
2015-03-16,1.061060,1.032319,1.050151,1.043677
2015-03-17,1.060578,1.029113,1.046520,1.039927
2015-03-18,1.073433,1.041904,1.060183,1.053582
2015-03-19,1.073947,1.034407,1.053564,1.046673
2015-03-20,1.078317,1.043759,1.062173,1.055019
2015-03-23,1.074818,1.046433,1.060456,1.054337
2015-03-24,1.067822,1.038519,1.053363,1.047269
2015-03-25,1.040747,1.026386,1.035039,1.030435
2015-03-26,1.039910,1.020408,1.032110,1.027246
2015-03-27,1.045442,1.018927,1.033370,1.027999
2015-03-30,1.061517,1.033989,1.049273,1.043478
2015-03-31,1.046583,1.025562,1.037713,1.032551
2015-04-01,1.040285,1.026801,1.037134,1.031941
2015-04-02,1.042480,1.029410,1.040345,1.035418
2015-04-06,1.054008,1.044794,1.050865,1.045373
2015-04-07,1.053819,1.042706,1.048533,1.042709
2015-04-08,1.054995,1.044887,1.048528,1.042671
2015-04-09,1.063817,1.049277,1.052710,1.046316
2015-04-10,1.069560,1.053643,1.058548,1.051728
2015-04-13,1.062661,1.048683,1.054613,1.047680
2015-04-14,1.061322,1.046967,1.058047,1.050720
2015-04-15,1.061838,1.052092,1.064804,1.056497
2015-04-16,1.066183,1.050335,1.065207,1.056878
2015-04-17,1.050928,1.040867,1.053100,1.045471
2015-04-20,1.060586,1.050357,1.062371,1.054691
2015-04-21,1.057616,1.047921,1.057874,1.050763
2015-04-22,1.061911,1.054145,1.063392,1.056090
2015-04-23,1.066265,1.053528,1.064801,1.057003
2015-04-24,1.078041,1.068147,1.071236,1.062634
