Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-02-02,0.011836,0.014473,0.014234,0.013953
2015-02-03,0.009885,0.014110,0.015141,0.014348
2015-02-04,-0.000880,-0.003555,-0.003579,-0.003391
2015-02-05,0.009828,0.010197,0.010962,0.010484
2015-02-06,-0.006863,-0.001681,-0.001713,-0.001947
2015-02-09,-0.004969,-0.002698,-0.001837,-0.002191
2015-02-10,0.014362,0.008530,0.009559,0.009446
2015-02-11,0.004292,0.000438,0.001203,0.001295
2015-02-12,0.005430,0.006284,0.010344,0.008555
2015-02-13,0.001526,0.004427,0.003240,0.002889
2015-02-17,0.001994,-0.000715,0.001304,0.000936
2015-02-18,-0.000063,-0.001328,-0.002877,-0.002439
2015-02-19,-0.000192,-0.001826,-0.002920,-0.002860
2015-02-20,0.007949,0.002472,0.006590,0.005703
2015-02-23,0.009731,-0.001806,0.001079,0.001280
2015-02-24,-0.000374,0.004529,0.003669,0.003300
2015-02-25,-0.005348,-0.000528,-0.001689,-0.001663
2015-02-26,0.003536,0.000212,0.000130,0.000359
2015-02-27,-0.002353,0.000263,-0.002623,-0.001743
2015-03-02,0.009493,0.002550,0.006324,0.005712
2015-03-03,-0.008950,-0.004487,-0.005413,-0.005150
2015-03-04,-0.001711,-0.006481,-0.004860,-0.005404
2015-03-05,0.003555,0.001242,0.001241,0.000925
2015-03-06,-0.014260,-0.018796,-0.016319,-0.016492
2015-03-09,0.009293,-0.000030,0.005044,0.004413
2015-03-10,-0.013603,-0.011746,-0.014773,-0.014870
2015-03-11,-0.005930,-0.001472,-0.001938,-0.002407
2015-03-12,0.009286,0.013279,0.011958,0.012490
2015-03-13,-0.002744,-0.005857,-0.004806,-0.005098
2015-03-16,0.016478,0.012626,0.013165,0.013185
2015-03-17,-0.000455,-0.003106,-0.003458,-0.003592
2015-03-18,0.012122,0.012429,0.013056,0.013131
2015-03-19,0.000479,-0.007196,-0.006244,-0.006558
2015-03-20,0.004069,0.009041,0.008172,0.007974
2015-03-23,-0.003245,0.002562,-0.001617,-0.000647
2015-03-24,-0.006509,-0.007563,-0.006689,-0.006703
2015-03-25,-0.025355,-0.011683,-0.017396,-0.016074
2015-03-26,-0.000804,-0.005824,-0.002830,-0.003095
2015-03-27,0.005319,-0.001452,0.001221,0.000733
2015-03-30,0.015377,0.014782,0.015389,0.015057
2015-03-31,-0.014069,-0.008150,-0.011017,-0.010471
2015-04-01,-0.006017,0.001208,-0.000557,-0.000591
2015-04-02,0.002110,0.002541,0.003096,0.003369
2015-04-06,0.011058,0.014944,0.010112,0.009614
2015-04-07,-0.000180,-0.001999,-0.002219,-0.002548
2015-04-08,0.001117,0.002092,-0.000005,-0.000037
2015-04-09,0.008362,0.004201,0.003988,0.003496
2015-04-10,0.005399,0.004161,0.005545,0.005172
2015-04-13,-0.006451,-0.004708,-0.003717,-0.003849
2015-04-14,-0.001260,-0.001636,0.003257,0.002901
2015-04-15,0.000487,0.004895,0.006386,0.005498
2015-04-16,0.004092,-0.001670,0.000378,0.000361
2015-04-17,-0.014309,-0.009014,-0.011366,-0.010793
2015-04-20,0.009190,0.009117,0.008804,0.008819
2015-04-21,-0.002801,-0.002319,-0.004233,-0.003725
2015-04-22,0.004061,0.005940,0.005216,0.005070
2015-04-23,0.004100,-0.000586,0.001325,0.000865
2015-04-24,0.011045,0.013876,0.006043,0.005327
2015-04-27,-0.000599,0.002424,0.000187,0.000250
2015-04-28,0.003610,0.003302,0.003647,0.003005
2015-04-29,-0.013500,-0.005431,-0.004390,-0.004614
2015-04-30,-0.013095,-0.006918,-0.009862,-0.009726
2015-05-01,0.014921,0.011839,0.010679,0.010494
2015-05-04,0.000139,0.001738,0.001720,0.001515
2015-05-05,-0.014442,-0.013501,-0.010938,-0.010591
2015-05-06,-0.006949,-0.000142,-0.004626,-0.004356
2015-05-07,0.008346,0.008520,0.004975,0.004526
2015-05-08,0.003583,-0.003367,0.006762,0.007428
2015-05-11,-0.006144,-0.007019,-0.004548,-0.005139
2015-05-12,-0.001065,-0.001184,-0.002868,-0.003156
2015-05-13,0.006891,0.002279,0.003110,0.002695
2015-05-14,0.019590,0.013755,0.013266,0.013109
2015-05-15,0.000932,0.004005,0.002320,0.002611
2015-05-18,0.003189,-0.000490,0.000422,0.000084
2015-05-19,0.000317,0.000369,-0.000352,-0.000295
2015-05-20,0.000919,0.001781,0.000789,0.000740
2015-05-21,-0.002070,-0.004143,0.000159,0.000152
2015-05-22,-0.005030,-0.003593,-0.002802,-0.002986
2015-05-26,-0.009959,-0.008170,-0.008818,-0.008680
2015-05-27,0.017641,0.014680,0.010242,0.009078
2015-05-28,0.001621,0.001885,-0.000403,-0.000255
2015-05-29,-0.006870,-0.005236,-0.006780,-0.006642
2015-06-01,0.001836,0.002808,0.002724,0.002315
2015-06-02,-0.006937,-0.001060,-0.003097,-0.002762
2015-06-03,0.000549,-0.001067,0.001039,0.000834
2015-06-04,-0.006936,-0.007163,-0.006298,-0.006870
2015-06-05,-0.002129,-0.005434,-0.001313,-0.002540
2015-06-08,-0.006587,0.000678,-0.002720,-0.001984
2015-06-09,0.001004,0.002185,0.001127,0.001305
2015-06-10,0.008849,0.008800,0.009383,0.008898
2015-06-11,0.003471,0.002179,0.002573,0.002492
2015-06-12,-0.012548,-0.008054,-0.008948,-0.008703
2015-06-15,-0.002635,-0.006109,-0.005739,-0.006060
2015-06-16,0.010694,0.008085,0.008277,0.008491
2015-06-17,-0.000552,0.003935,0.002057,0.002357
2015-06-18,0.012590,0.008672,0.010131,0.010077
2015-06-19,-0.006232,-0.005309,-0.006046,-0.005986
2015-06-22,0.001578,0.001414,0.003224,0.002850
2015-06-23,-0.002344,-0.002155,-0.001295,-0.001407
2015-06-24,-0.008512,-0.005992,-0.007643,-0.007229
2015-06-25,0.003895,-0.004164,-0.002391,-0.002369
2015-06-26,-0.001864,0.001425,-0.000865,-0.000631
2015-06-29,-0.019418,-0.017966,-0.019578,-0.019058
2015-06-30,0.001417,-0.001322,0.000793,0.000511
2015-07-01,0.009724,0.006444,0.007183,0.007308
2015-07-02,-0.003843,0.001940,-0.000526,-0.000167
2015-07-06,-0.001836,-0.004238,-0.004034,-0.003832
2015-07-07,-0.002558,0.007104,0.003794,0.005090
2015-07-08,-0.014585,-0.010885,-0.013663,-0.013263
2015-07-09,-0.000398,-0.002824,-0.001314,-0.001593
2015-07-10,0.015763,0.010766,0.012271,0.012166
2015-07-13,0.011629,0.011608,0.010637,0.010194
2015-07-14,0.004718,0.004009,0.005932,0.005739
2015-07-15,0.003723,0.001091,0.000765,0.000717
2015-07-16,0.005849,0.011715,0.005671,0.005669
2015-07-17,0.000718,-0.002538,-0.001945,-0.002332
2015-07-20,0.002633,0.002635,0.000109,0.000534
2015-07-21,-0.005076,0.000073,-0.003955,-0.004578
2015-07-22,-0.014509,-0.018744,-0.009352,-0.009091
2015-07-23,-0.000701,-0.003307,-0.004063,-0.003861
2015-07-24,-0.009993,-0.006974,-0.010196,-0.010005
2015-07-27,-0.008885,-0.006303,-0.007321,-0.006869
2015-07-28,0.014835,0.010667,0.014455,0.013945
2015-07-29,0.007511,0.007311,0.006689,0.006482
2015-07-30,-0.000472,0.001808,-0.003125,-0.004282
2015-07-31,-0.001168,-0.000587,-0.003525,-0.003281
2015-08-03,-0.003610,-0.005735,-0.002684,-0.002557
2015-08-04,-0.001955,-0.006668,-0.003111,-0.003430
2015-08-05,0.010413,0.003638,0.005066,0.004683
2015-08-06,-0.009632,-0.001878,-0.002963,-0.002684
2015-08-07,0.006230,-0.002464,0.005365,0.003741
2015-08-10,0.015788,0.017204,0.016758,0.016156
2015-08-11,-0.016203,-0.013246,-0.011305,-0.010348
2015-08-12,0.000634,0.004961,0.001613,0.001699
2015-08-13,-0.002021,-0.004757,-0.002904,-0.002985
2015-08-14,0.004723,0.002535,0.003119,0.002731
2015-08-17,0.009396,0.005085,0.004933,0.004828
2015-08-18,0.002365,-0.001416,-0.000891,-0.001181
2015-08-19,-0.010597,-0.011851,-0.009948,-0.009894
2015-08-20,-0.020427,-0.012341,-0.016805,-0.015555
2015-08-21,-0.039089,-0.032708,-0.032838,-0.031838
2015-08-24,-0.036171,-0.034028,-0.038046,-0.037464
2015-08-25,-0.013739,-0.012384,-0.014745,-0.014977
2015-08-26,0.047564,0.039222,0.040555,0.039471
2015-08-27,0.025901,0.021304,0.024060,0.023065
2015-08-28,-0.002223,0.000020,0.000251,0.000254
2015-08-31,-0.009516,-0.005107,-0.005661,-0.005736
2015-09-01,-0.033334,-0.029179,-0.031078,-0.030044
2015-09-02,0.024791,0.016638,0.017910,0.016816
2015-09-03,-0.001241,0.000184,0.000609,0.000955
2015-09-04,-0.017662,-0.015773,-0.018712,-0.018443
2015-09-08,0.033259,0.023956,0.025297,0.024382
2015-09-09,-0.014202,-0.013086,-0.014196,-0.014281
2015-09-10,0.011064,0.007863,0.006427,0.006035
2015-09-11,0.006492,0.005072,0.003952,0.003875
2015-09-14,-0.001925,-0.002162,-0.001936,-0.001817
2015-09-15,0.014118,0.014908,0.014982,0.014783
2015-09-16,0.006024,0.010056,0.008751,0.008829
2015-09-17,0.002437,0.000543,-0.003688,-0.003451
2015-09-18,-0.011978,-0.009679,-0.015154,-0.014609
2015-09-21,0.006990,0.008391,0.007821,0.007497
2015-09-22,-0.012209,-0.010342,-0.011457,-0.011010
