Kostensatz (bp),Strategie,CAGR (%),Vola (%),Sharpe,Max. DD (%)
0,Markowitz MVO,23.340557203072553,20.998515129691146,0.9210440397152512,-34.1874515476699
0,Random Forest,22.55493306896692,19.031098223361965,0.9749796281430295,-33.73411441530736
0,Equal Weight,20.073484592695866,17.55775053703231,0.9154637753164411,-33.2460213856983
0,Risk Parity,16.962789205994255,16.446041178671564,0.7882011886730135,-32.43895526340289
5,Markowitz MVO,23.2386504636368,20.997932306077598,0.9162164247033222,-34.234805048132806
5,Random Forest,22.33778595979834,19.029345837820152,0.9636582421741812,-33.75361024793861
5,Equal Weight,20.05253611396953,17.557274550304992,0.9142954430641217,-33.24674447277915
5,Risk Parity,16.942925221916028,16.445562218241992,0.7870162813624748,-32.43956421933788
10,Markowitz MVO,23.136817348972926,20.997389438382097,0.9113903137878585,-34.2821289557286
10,Random Forest,22.120989815020664,19.027733124862515,0.952346225170824,-33.77310321444462
10,Equal Weight,20.031588173689443,17.556813691669028,0.9131262913211109,-33.247467559860006
10,Risk Parity,16.923061585188528,16.445099353159407,0.7858305570349605,-32.44017317527294
15,Markowitz MVO,23.035057811362904,20.996886529703783,0.9065657322305604,-34.32942328624119
15,Random Forest,21.904544120529867,19.026260120006032,0.9410437998639214,-33.792593314825396
15,Equal Weight,20.010640769942324,17.55636796231575,0.9119563228743389,-33.2481906469409
15,Risk Parity,16.9031982939472,16.444652584782908,0.784644018924863,-32.44078213120798
20,Markowitz MVO,22.933371803114987,20.996423582913973,0.9017427052920663,-34.376688055447886
20,Random Forest,21.688448362897606,19.02492685570141,0.9297511889038728,-33.81208054908105
20,Equal Weight,19.989693900812778,17.55593736339752,0.9107855405174654,-33.248913734021734
20,Risk Parity,16.88333534632531,16.444221914424467,0.7834566702742175,-32.441391087142996
25,Markowitz MVO,22.831759276564,20.99600060065605,0.8969212582312259,-34.42392327911857
25,Random Forest,21.472702029371348,19.02373336132948,0.9184686148350358,-33.83156491721142
25,Equal Weight,19.96874756438267,17.555521896027688,0.9096139470508102,-33.2496368211026
