,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.1281,0.0667,0.0667,0.1709,0.2000,0.0000,0.0340,0.0667,0.0667,0.0000,0.0000,0.0677,0.0660,0.0667,0.0000
2015-02-28,0.1597,0.1155,0.1264,0.2000,0.2000,0.0000,0.0000,0.0292,0.0000,0.0000,0.0000,0.1693,0.0000,0.0000,0.0000
2015-03-31,0.1734,0.0988,0.1254,0.2000,0.2000,0.0000,0.0000,0.0024,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000
2015-04-30,0.1498,0.1926,0.1372,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1204,0.0000,0.0000,0.0000
2015-05-31,0.1594,0.1527,0.1214,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1665,0.0000,0.0000,0.0000
2015-06-30,0.1619,0.1358,0.0755,0.1848,0.2000,0.0360,0.0188,0.0000,0.0000,0.0000,0.0000,0.1874,0.0000,0.0000,0.0000
2015-07-31,0.1279,0.1699,0.0560,0.2000,0.2000,0.0462,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000
2015-08-31,0.0980,0.1542,0.1846,0.1633,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000
2015-09-30,0.0945,0.1936,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1120,0.0000,0.0000,0.0000
2015-10-31,0.0883,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1117,0.0000,0.0000,0.0000
2015-11-30,0.0770,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1230,0.0000,0.0000,0.0000
2015-12-31,0.0181,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1819,0.0000,0.0000,0.0000
2016-01-31,0.0960,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0591,0.0449,0.0000,0.0000
2016-02-29,0.1392,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0276,0.0000,0.0000,0.0332,0.0000,0.0000,0.0000
2016-03-31,0.1951,0.2000,0.2000,0.1820,0.2000,0.0000,0.0000,0.0000,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2016-04-30,0.1369,0.0804,0.2000,0.1828,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000
2016-05-31,0.1663,0.0956,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0503,0.0000,0.0000,0.0878,0.0000,0.0000,0.0000
2016-06-30,0.1906,0.0198,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0669,0.0000,0.0000,0.0231,0.0553,0.0442,0.0000
2016-07-31,0.1269,0.1634,0.2000,0.1947,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1150,0.0000
2016-08-31,0.0773,0.1291,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1936,0.0000
2016-09-30,0.1418,0.1455,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1127,0.0000
2016-10-31,0.1178,0.1884,0.2000,0.1939,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0999,0.0000
2016-11-30,0.0752,0.1555,0.2000,0.1361,0.2000,0.0432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1900,0.0000
2016-12-31,0.0586,0.1284,0.2000,0.1716,0.2000,0.0469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0247,0.1699,0.0000
2017-01-31,0.1568,0.1381,0.2000,0.1948,0.2000,0.0320,0.0000,0.0000,0.0562,0.0000,0.0000,0.0000,0.0000,0.0222,0.0000
2017-02-28,0.1955,0.0855,0.2000,0.2000,0.2000,0.0837,0.0000,0.0001,0.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017-03-31,0.2000,0.0910,0.2000,0.2000,0.2000,0.0067,0.0000,0.0000,0.0506,0.0000,0.0000,0.0000,0.0000,0.0517,0.0000
2017-04-30,0.1691,0.1350,0.2000,0.1176,0.2000,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1063,0.0000
2017-05-31,0.1370,0.1136,0.2000,0.1738,0.2000,0.0000,0.0000,0.0000,0.0743,0.0000,0.0000,0.0197,0.0000,0.0815,0.0000
2017-06-30,0.0743,0.0757,0.2000,0.1822,0.2000,0.0875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.0000,0.1678,0.0000
2017-07-31,0.0263,0.0615,0.2000,0.1865,0.2000,0.0456,0.0000,0.0000,0.1265,0.0000,0.0000,0.0143,0.0000,0.1392,0.0000
2017-08-31,0.0749,0.0491,0.2000,0.1944,0.2000,0.0281,0.0000,0.0000,0.0220,0.0000,0.0000,0.0315,0.0000,0.2000,0.0000
2017-09-30,0.0375,0.0290,0.2000,0.1119,0.2000,0.0603,0.0000,0.0000,0.0232,0.0000,0.0000,0.1381,0.0000,0.2000,0.0000
2017-10-31,0.0006,0.0923,0.2000,0.1671,0.2000,0.0771,0.0000,0.0000,0.0000,0.0000,0.0054,0.0709,0.0000,0.1867,0.0000
2017-11-30,0.0000,0.0604,0.2000,0.1286,0.2000,0.0995,0.0000,0.0000,0.0000,0.0000,0.0011,0.1341,0.0000,0.1764,0.0000
2017-12-31,0.0000,0.0668,0.2000,0.1989,0.2000,0.0374,0.0000,0.0000,0.0000,0.0000,0.1395,0.0220,0.0238,0.1116,0.0000
2018-01-31,0.0000,0.1828,0.2000,0.1211,0.2000,0.1277,0.0000,0.0000,0.0000,0.0000,0.1472,0.0000,0.0212,0.0000,0.0000
2018-02-28,0.0000,0.2000,0.2000,0.0459,0.2000,0.1356,0.0000,0.0000,0.0000,0.0000,0.1636,0.0000,0.0000,0.0549,0.0000
2018-03-31,0.0000,0.2000,0.2000,0.0512,0.2000,0.1054,0.0000,0.0000,0.0000,0.0000,0.1511,0.0000,0.0000,0.0923,0.0000
2018-04-30,0.0000,0.1230,0.2000,0.0784,0.2000,0.0946,0.0000,0.0000,0.0000,0.0000,0.1040,0.0000,0.0000,0.2000,0.0000
2018-05-31,0.0000,0.2000,0.2000,0.0132,0.2000,0.0203,0.0000,0.0000,0.0000,0.0000,0.1665,0.0000,0.0000,0.2000,0.0000
2018-06-30,0.0000,0.2000,0.2000,0.0829,0.2000,0.0000,0.0000,0.0000,0.0410,0.0000,0.0762,0.0000,0.0000,0.2000,0.0000
2018-07-31,0.0000,0.2000,0.2000,0.1039,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1150,0.0000,0.0000,0.1812,0.0000
2018-08-31,0.0674,0.2000,0.2000,0.1229,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0415,0.0000,0.0081,0.1600,0.0000
2018-09-30,0.0395,0.1640,0.2000,0.1165,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1298,0.0251,0.0073,0.1178,0.0000
2018-10-31,0.0847,0.0856,0.2000,0.1430,0.2000,0.0571,0.0000,0.0000,0.0000,0.0000,0.0133,0.0000,0.1020,0.1142,0.0000
2018-11-30,0.0000,0.0848,0.2000,0.1226,0.2000,0.0000,0.0000,0.0315,0.0000,0.0000,0.0853,0.0000,0.1725,0.1032,0.0000
2018-12-31,0.0000,0.0776,0.2000,0.0000,0.2000,0.0000,0.0000,0.0196,0.0000,0.0000,0.1387,0.0000,0.2000,0.0527,0.1114
2019-01-31,0.0000,0.0047,0.2000,0.0039,0.2000,0.1280,0.0000,0.0464,0.0000,0.0000,0.0972,0.0000,0.0197,0.2000,0.1000
2019-02-28,0.0000,0.1251,0.1812,0.0000,0.2000,0.1679,0.0000,0.0209,0.0000,0.0000,0.0273,0.0000,0.0000,0.2000,0.0776
2019-03-31,0.0000,0.1542,0.2000,0.0000,0.2000,0.1628,0.0000,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0038
2019-04-30,0.0538,0.2000,0.1543,0.0000,0.0919,0.1944,0.0000,0.1069,0.0000,0.0000,0.0000,0.0000,0.0000,0.1987,0.0000
2019-05-31,0.0000,0.2000,0.1018,0.0000,0.2000,0.1315,0.0000,0.0931,0.0000,0.0000,0.0000,0.0000,0.0000,0.1747,0.0989
2019-06-30,0.0485,0.2000,0.0855,0.0000,0.0788,0.2000,0.0000,0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.1743,0.1213
2019-07-31,0.0796,0.2000,0.0656,0.0000,0.1119,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0926,0.0503
2019-08-31,0.0664,0.2000,0.0643,0.0000,0.1251,0.1588,0.0000,0.1817,0.0083,0.0000,0.0000,0.0000,0.0000,0.1680,0.0273
2019-09-30,0.0655,0.2000,0.0433,0.0000,0.0323,0.2000,0.0000,0.1995,0.0341,0.0000,0.0000,0.0000,0.0000,0.1630,0.0622
2019-10-31,0.0805,0.2000,0.0424,0.0000,0.0998,0.1744,0.0000,0.1584,0.0000,0.0000,0.0000,0.0000,0.0165,0.1932,0.0347
2019-11-30,0.1732,0.2000,0.0000,0.0000,0.0960,0.0848,0.0000,0.1996,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0465
2019-12-31,0.2000,0.2000,0.0000,0.0000,0.1080,0.0005,0.0000,0.2000,0.0135,0.0000,0.0000,0.0000,0.0000,0.1597,0.1183
2020-01-31,0.2000,0.2000,0.0000,0.0000,0.0532,0.0000,0.0000,0.1219,0.1577,0.0000,0.0000,0.0000,0.0058,0.2000,0.0613
2020-02-29,0.1221,0.2000,0.0812,0.0000,0.0576,0.0000,0.0000,0.0200,0.1884,0.0000,0.0000,0.0000,0.0000,0.2000,0.1308
2020-03-31,0.1977,0.2000,0.2000,0.0000,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0819,0.2000,0.0870
2020-04-30,0.2000,0.2000,0.2000,0.0000,0.0166,0.0000,0.0000,0.0228,0.0000,0.0000,0.0000,0.0000,0.2000,0.1606,0.0000
2020-05-31,0.2000,0.2000,0.1751,0.0000,0.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1540,0.0000
2020-06-30,0.2000,0.2000,0.1780,0.0000,0.0000,0.0000,0.0000,0.1033,0.0000,0.0000,0.0000,0.0000,0.2000,0.0618,0.0569
2020-07-31,0.2000,0.2000,0.1207,0.0000,0.0000,0.0000,0.0000,0.1697,0.0000,0.0000,0.0000,0.0000,0.0234,0.0862,0.2000
2020-08-31,0.2000,0.2000,0.1827,0.0000,0.0000,0.0000,0.0000,0.1750,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.2000
2020-09-30,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0990,0.0000,0.1010
2020-10-31,0.2000,0.2000,0.1821,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1515,0.0664,0.0000
2020-11-30,0.2000,0.2000,0.1881,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0870
2020-12-31,0.2000,0.2000,0.1923,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,0.2000
2021-01-31,0.2000,0.2000,0.1073,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0927
2021-02-28,0.2000,0.2000,0.1084,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0631,0.1374,0.0911
2021-03-31,0.2000,0.2000,0.0476,0.0000,0.0311,0.0000,0.0000,0.2000,0.0000,0.0000,0.0035,0.0000,0.1025,0.0152,0.2000
2021-04-30,0.2000,0.2000,0.1055,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0108,0.0000,0.0000,0.0837,0.2000
2021-05-31,0.2000,0.2000,0.0920,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1080,0.2000
2021-06-30,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0617,0.1383
2021-07-31,0.2000,0.2000,0.1580,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1346,0.1075
2021-08-31,0.2000,0.2000,0.1463,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1014,0.1522
2021-09-30,0.2000,0.2000,0.1712,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0973,0.1314
2021-10-31,0.1783,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1181,0.0000,0.0000,0.0191,0.0000,0.0000,0.2000,0.0845
2021-11-30,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0921,0.0000,0.0000,0.0000,0.0000,0.0000,0.1862,0.1217
2021-12-31,0.2000,0.1854,0.2000,0.0000,0.0000,0.0000,0.0359,0.1528,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0259
2022-01-31,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1650,0.0350
2022-02-28,0.2000,0.2000,0.2000,0.0000,0.0468,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1532,0.0000
2022-03-31,0.2000,0.1693,0.2000,0.0000,0.1139,0.0000,0.0000,0.0236,0.0000,0.0000,0.0931,0.0000,0.0000,0.2000,0.0000
2022-04-30,0.2000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.1594,0.0000,0.0000,0.0406,0.0000,0.0000,0.2000,0.0000
2022-05-31,0.2000,0.0230,0.2000,0.0728,0.2000,0.0000,0.0000,0.0875,0.0000,0.0051,0.2000,0.0000,0.0000,0.0115,0.0000
2022-06-30,0.2000,0.0863,0.2000,0.1441,0.2000,0.0000,0.0000,0.1051,0.0000,0.0393,0.0252,0.0000,0.0000,0.0000,0.0000
2022-07-31,0.2000,0.0505,0.2000,0.1976,0.2000,0.0000,0.0000,0.0000,0.0000,0.0817,0.0646,0.0000,0.0000,0.0056,0.0000
2022-08-31,0.2000,0.0367,0.2000,0.1136,0.2000,0.0000,0.0000,0.0000,0.0000,0.1533,0.0964,0.0000,0.0000,0.0000,0.0000
2022-09-30,0.2000,0.0282,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.1718,0.0000,0.0000,0.0000,0.0000,0.0000
2022-10-31,0.2000,0.0000,0.2000,0.1568,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0432,0.0000,0.0000,0.0000,0.0000
2022-11-30,0.2000,0.0000,0.2000,0.0856,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.1144,0.0000,0.0000,0.0000,0.0000
2022-12-31,0.1975,0.0000,0.2000,0.0025,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000
2023-01-31,0.1417,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0583
2023-02-28,0.1887,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0113
2023-03-31,0.1832,0.0000,0.1815,0.0000,0.2000,0.0000,0.0192,0.0568,0.0000,0.2000,0.1234,0.0000,0.0000,0.0000,0.0359
2023-04-30,0.1313,0.0000,0.1775,0.0000,0.1893,0.0000,0.0000,0.1379,0.0000,0.2000,0.0622,0.0000,0.0000,0.0000,0.1019
2023-05-31,0.1447,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.1050,0.0101,0.2000,0.0967,0.0000,0.0000,0.0000,0.0436
2023-06-30,0.0431,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.1299,0.0881,0.2000,0.1389,0.0000,0.0000,0.0000,0.0000
2023-07-31,0.0504,0.0000,0.2000,0.0110,0.2000,0.0000,0.0277,0.0250,0.1352,0.2000,0.1507,0.0000,0.0000,0.0000,0.0000
2023-08-31,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0616,0.1384,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000
2023-09-30,0.0000,0.0000,0.2000,0.0946,0.2000,0.0000,0.0287,0.0066,0.0672,0.2000,0.1801,0.0000,0.0000,0.0000,0.0228
2023-10-31,0.0000,0.0000,0.1808,0.1054,0.2000,0.0000,0.0389,0.0000,0.0914,0.2000,0.0000,0.0000,0.0000,0.0000,0.1837
2023-11-30,0.0000,0.0489,0.2000,0.1409,0.2000,0.0000,0.0011,0.0236,0.0231,0.2000,0.0122,0.0000,0.0000,0.0000,0.1502
2023-12-31,0.0000,0.0589,0.2000,0.0232,0.2000,0.0000,0.0000,0.0381,0.0073,0.2000,0.1442,0.0000,0.0000,0.0000,0.1283
2024-01-31,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.1491,0.1219,0.2000,0.0667,0.0000,0.0000,0.0000,0.0623
2024-02-29,0.0000,0.0000,0.2000,0.0000,0.1819,0.0000,0.0000,0.2000,0.0186,0.2000,0.0025,0.0000,0.0000,0.0000,0.1970
2024-03-31,0.0000,0.0133,0.2000,0.0000,0.1334,0.0000,0.0000,0.2000,0.0593,0.2000,0.0580,0.0000,0.0000,0.0000,0.1360
2024-04-30,0.0000,0.0000,0.2000,0.0000,0.0808,0.0000,0.0000,0.2000,0.1532,0.2000,0.0584,0.0000,0.0000,0.0000,0.1076
2024-05-31,0.0000,0.0135,0.2000,0.0000,0.0893,0.0000,0.0000,0.2000,0.2000,0.2000,0.0380,0.0000,0.0000,0.0000,0.0591
2024-06-30,0.0000,0.0000,0.2000,0.0000,0.1087,0.0000,0.0000,0.2000,0.1734,0.2000,0.0704,0.0000,0.0000,0.0000,0.0476
2024-07-31,0.0000,0.0000,0.2000,0.0000,0.2000,0.0059,0.0000,0.0808,0.2000,0.2000,0.1128,0.0000,0.0000,0.0000,0.0005
2024-08-31,0.0000,0.0000,0.2000,0.0000,0.1684,0.0000,0.0000,0.1400,0.2000,0.2000,0.0916,0.0000,0.0000,0.0000,0.0000
2024-09-30,0.0000,0.0000,0.2000,0.0000,0.1614,0.0000,0.0000,0.1020,0.2000,0.2000,0.1366,0.0000,0.0000,0.0000,0.0000
2024-10-31,0.0000,0.0000,0.2000,0.0000,0.0733,0.0000,0.0000,0.2000,0.1323,0.2000,0.1944,0.0000,0.0000,0.0000,0.0000
2024-11-30,0.0000,0.0000,0.2000,0.0000,0.1274,0.0208,0.0000,0.2000,0.0518,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000
