,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.0285,0.0667,0.0471,0.0667,0.0000,0.0000,0.0244,0.2000,0.1550,0.0667,0.0667,0.0667,0.1109,0.0000,0.1007
2015-02-28,0.0298,0.0000,0.0516,0.0652,0.0000,0.0000,0.0000,0.1189,0.1547,0.1646,0.0000,0.0000,0.1139,0.2000,0.1014
2015-03-31,0.0394,0.1405,0.2000,0.0657,0.0000,0.0000,0.0000,0.1174,0.1351,0.0000,0.0000,0.0000,0.1150,0.0882,0.0988
2015-04-30,0.0382,0.0000,0.1631,0.0625,0.2000,0.0000,0.0000,0.1109,0.1304,0.0000,0.0000,0.0000,0.1164,0.1785,0.0000
2015-05-31,0.0394,0.0000,0.0059,0.0627,0.0682,0.0000,0.0000,0.2000,0.1299,0.0667,0.1411,0.0000,0.1125,0.1735,0.0000
2015-06-30,0.1083,0.1829,0.0532,0.0626,0.0000,0.0000,0.0000,0.0000,0.1287,0.0668,0.1201,0.0000,0.1089,0.1683,0.0000
2015-07-31,0.1535,0.0801,0.0000,0.0631,0.0491,0.0000,0.0000,0.2000,0.1320,0.0623,0.1101,0.0000,0.1083,0.0415,0.0000
2015-08-31,0.1396,0.0793,0.0000,0.0629,0.1439,0.0000,0.0000,0.2000,0.1334,0.0000,0.0000,0.0000,0.0000,0.0410,0.2000
2015-09-30,0.1363,0.0179,0.0000,0.0000,0.1446,0.0000,0.2000,0.0705,0.1370,0.0000,0.1000,0.0000,0.0000,0.0000,0.1936
2015-10-31,0.1373,0.0198,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.1344,0.0000,0.1414,0.0000,0.0000,0.0000,0.1671
2015-11-30,0.1257,0.1862,0.2000,0.0000,0.1877,0.0000,0.0000,0.0000,0.0000,0.1340,0.0000,0.0000,0.0000,0.0000,0.1664
2015-12-31,0.2000,0.2000,0.2000,0.0521,0.0000,0.0000,0.1081,0.0000,0.0000,0.0398,0.0000,0.0000,0.0000,0.0000,0.2000
2016-01-31,0.0645,0.2000,0.2000,0.1850,0.0000,0.0000,0.0997,0.0144,0.0000,0.0420,0.0000,0.0000,0.1444,0.0000,0.0500
2016-02-29,0.0000,0.1083,0.2000,0.1875,0.0606,0.0000,0.0000,0.2000,0.0000,0.0436,0.0000,0.0000,0.2000,0.0000,0.0000
2016-03-31,0.0000,0.0000,0.2000,0.1001,0.0079,0.0195,0.2000,0.1921,0.0000,0.0000,0.0805,0.0000,0.1998,0.0000,0.0000
2016-04-30,0.1000,0.2000,0.1989,0.0410,0.0000,0.0000,0.0000,0.1881,0.0000,0.0000,0.0823,0.0000,0.1897,0.0000,0.0000
2016-05-31,0.0091,0.0304,0.2000,0.0384,0.0000,0.0000,0.0000,0.1759,0.0000,0.0000,0.0710,0.0000,0.1752,0.1000,0.2000
2016-06-30,0.0084,0.0000,0.2000,0.0883,0.0000,0.2000,0.0000,0.1765,0.0000,0.0000,0.1129,0.0000,0.0000,0.1031,0.1108
2016-07-31,0.0016,0.0000,0.2000,0.0841,0.0000,0.0000,0.0000,0.1658,0.2000,0.1000,0.0637,0.0000,0.0000,0.1057,0.0791
2016-08-31,0.0016,0.0000,0.2000,0.0796,0.1622,0.0000,0.0000,0.0585,0.1964,0.0000,0.2000,0.0000,0.0000,0.1016,0.0000
2016-09-30,0.0017,0.0000,0.2000,0.0754,0.0000,0.0000,0.2000,0.0576,0.2000,0.0000,0.0817,0.0000,0.0847,0.0989,0.0000
2016-10-31,0.0379,0.0000,0.2000,0.0730,0.0000,0.0000,0.0000,0.0554,0.1204,0.1320,0.0864,0.0000,0.2000,0.0950,0.0000
