,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2018-03-31,0.0000,0.1434,0.5536,0.0000,0.2026,0.0040,0.0000,0.0000,0.0000,0.0000,0.0965,0.0000,0.0000,0.0000,0.0000
2018-06-30,0.0000,0.0203,0.5081,0.0000,0.3282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000
2018-09-30,0.0000,0.1275,0.3312,0.0012,0.3710,0.0000,0.0000,0.0000,0.0000,0.0000,0.1133,0.0000,0.0000,0.0558,0.0000
2018-12-31,0.0000,0.0000,0.2038,0.0000,0.6593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0753,0.0000,0.0591,0.0000,0.0024
2019-03-31,0.0000,0.1634,0.1772,0.0000,0.2805,0.1324,0.0000,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.2325,0.0000
2019-06-30,0.0000,0.4527,0.0281,0.0000,0.0284,0.2031,0.0000,0.0487,0.0000,0.0000,0.0000,0.0000,0.0000,0.1530,0.0860
2019-09-30,0.0000,0.4184,0.0000,0.0000,0.0000,0.2465,0.0000,0.1899,0.0000,0.0000,0.0000,0.0000,0.0000,0.1452,0.0000
2019-12-31,0.1599,0.3146,0.0000,0.0000,0.0822,0.0000,0.0000,0.2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.1496,0.0915
2020-03-31,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020-06-30,0.0737,0.9263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020-09-30,0.4629,0.5371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020-12-31,0.7066,0.2934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-03-31,0.3524,0.2581,0.0000,0.0000,0.0000,0.0000,0.0000,0.2966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0929
2021-06-30,0.2957,0.4226,0.0000,0.0000,0.0000,0.0000,0.0000,0.2817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-09-30,0.1758,0.4038,0.0000,0.0000,0.0000,0.0000,0.0000,0.3481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0723
2021-12-31,0.4159,0.0000,0.3656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2185,0.0000
2022-03-31,0.5915,0.0000,0.3140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0945,0.0000
2022-06-30,0.5839,0.0000,0.1533,0.0000,0.2628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022-09-30,0.5040,0.0000,0.0000,0.0000,0.4960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2022-12-31,0.0000,0.0000,0.2524,0.0000,0.4355,0.0000,0.0000,0.0000,0.0000,0.2390,0.0730,0.0000,0.0000,0.0000,0.0000
2023-03-31,0.1928,0.0000,0.1513,0.0000,0.2094,0.0000,0.0000,0.0000,0.0000,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000
2023-06-30,0.0000,0.0000,0.2416,0.0000,0.1860,0.0000,0.0000,0.0891,0.0114,0.4388,0.0000,0.0000,0.0000,0.0000,0.0330
2023-09-30,0.0000,0.0000,0.1613,0.0000,0.2237,0.0000,0.0000,0.0000,0.0000,0.6150,0.0000,0.0000,0.0000,0.0000,0.0000
2023-12-31,0.0000,0.0000,0.2271,0.0000,0.2303,0.0000,0.0000,0.0000,0.0000,0.5426,0.0000,0.0000,0.0000,0.0000,0.0000
2024-03-31,0.0000,0.0000,0.4074,0.0000,0.0000,0.0000,0.0000,0.0929,0.0000,0.4997,0.0000,0.0000,0.0000,0.0000,0.0000
2024-06-30,0.0000,0.0000,0.3678,0.0000,0.0000,0.0000,0.0000,0.1897,0.0000,0.4425,0.0000,0.0000,0.0000,0.0000,0.0000
2024-09-30,0.0000,0.0000,0.2448,0.0000,0.0546,0.0000,0.0000,0.0000,0.3355,0.3443,0.0208,0.0000,0.0000,0.0000,0.0000
