Date,Markowitz MVO,Random Forest,Equal Weight
2015-02-02,0.013072,0.017773,0.015093
2015-02-03,0.010614,0.018222,0.014967
2015-02-04,-0.001889,-0.004569,-0.003613
2015-02-05,0.011248,0.009386,0.010890
2015-02-06,-0.009190,0.006608,-0.001809
2015-02-09,-0.005757,0.001199,-0.001863
2015-02-10,0.013519,0.010485,0.009456
2015-02-11,0.004292,-0.000518,0.001164
2015-02-12,0.004529,0.010923,0.010112
2015-02-13,0.005705,0.005031,0.003182
2015-02-17,0.002882,0.001644,0.001294
2015-02-18,0.000362,-0.005915,-0.002914
2015-02-19,0.001926,-0.002312,-0.002975
2015-02-20,0.009640,0.006438,0.006546
2015-02-23,0.009971,-0.003696,0.000993
2015-02-24,-0.000197,0.010781,0.003616
2015-02-25,-0.005562,0.000275,-0.001724
2015-02-26,0.003448,0.001799,0.000090
2015-02-27,-0.005068,-0.001471,-0.002660
2015-03-02,0.009571,0.004554,0.006290
2015-03-03,-0.009457,-0.006171,-0.005447
2015-03-04,-0.001152,-0.003119,-0.004895
2015-03-05,0.004319,0.002697,0.001212
2015-03-06,-0.015036,-0.017983,-0.016477
2015-03-09,0.009697,0.006518,0.005013
2015-03-10,-0.013958,-0.014720,-0.014935
2015-03-11,-0.005683,0.002850,-0.001974
2015-03-12,0.010568,0.014779,0.011802
2015-03-13,-0.002701,-0.004052,-0.004841
2015-03-16,0.017313,0.017763,0.013061
2015-03-17,-0.001753,-0.005469,-0.003506
2015-03-18,0.012800,0.018943,0.012909
2015-03-19,0.001197,-0.004157,-0.006312
2015-03-20,0.002679,0.006749,0.008086
2015-03-23,-0.002751,0.001693,-0.001671
2015-03-24,-0.006811,-0.007157,-0.006719
2015-03-25,-0.024508,-0.011852,-0.017661
2015-03-26,-0.000746,-0.004803,-0.002845
2015-03-27,0.005978,0.003304,0.001190
2015-03-30,0.016058,0.022291,0.015240
2015-03-31,-0.014599,-0.011228,-0.011101
2015-04-01,-0.007446,0.001684,-0.000580
2015-04-02,0.002386,0.002466,0.003074
2015-04-06,0.008134,0.016435,0.010011
2015-04-07,-0.000016,0.001782,-0.002259
2015-04-08,0.001342,0.002966,-0.000027
2015-04-09,0.007846,0.008333,0.003931
2015-04-10,0.005124,0.006225,0.005512
2015-04-13,-0.007014,-0.001320,-0.003741
2015-04-14,-0.000458,0.001659,0.003225
2015-04-15,-0.001711,0.012903,0.006303
2015-04-16,0.006018,-0.004515,0.000326
2015-04-17,-0.014983,-0.012690,-0.011449
2015-04-20,0.007521,0.011180,0.008728
2015-04-21,-0.002410,-0.006871,-0.004257
2015-04-22,0.002439,0.009776,0.005175
2015-04-23,0.004098,0.002502,0.001298
2015-04-24,0.006438,0.021948,0.005693
2015-04-27,-0.003015,0.002959,0.000149
2015-04-28,0.003708,0.009276,0.003601
2015-04-29,-0.014963,0.000039,-0.004495
2015-04-30,-0.013590,-0.005121,-0.009950
2015-05-01,0.014584,0.015967,0.010612
2015-05-04,0.001003,0.004243,0.001698
2015-05-05,-0.013967,-0.013516,-0.011022
2015-05-06,-0.006460,-0.002972,-0.004665
2015-05-07,0.008327,0.006239,0.004939
2015-05-08,0.004009,0.012723,0.006486
2015-05-11,-0.006091,-0.002614,-0.004595
2015-05-12,-0.001227,-0.003320,-0.002883
2015-05-13,0.007132,0.007827,0.003080
2015-05-14,0.019428,0.017434,0.013153
2015-05-15,0.001437,0.003764,0.002300
2015-05-18,0.003292,0.004096,0.000404
2015-05-19,0.000825,0.000932,-0.000365
2015-05-20,0.001167,0.002344,0.000781
2015-05-21,-0.002522,-0.000115,0.000138
2015-05-22,-0.005512,0.001045,-0.002827
2015-05-26,-0.009875,-0.012312,-0.008868
2015-05-27,0.016284,0.010886,0.010104
2015-05-28,0.001554,0.000491,-0.000430
2015-05-29,-0.006243,-0.008408,-0.006823
2015-06-01,0.001328,0.003009,0.002719
2015-06-02,-0.007290,0.000681,-0.003127
2015-06-03,0.001013,0.002241,0.001023
2015-06-04,-0.007828,-0.007070,-0.006354
2015-06-05,-0.002158,0.003630,-0.001350
2015-06-08,-0.005787,0.000905,-0.002750
2015-06-09,0.001062,0.005762,0.001112
2015-06-10,0.009199,0.012856,0.009297
2015-06-11,0.003926,-0.000688,0.002560
2015-06-12,-0.012486,-0.006766,-0.009007
2015-06-15,-0.001901,-0.006294,-0.005772
2015-06-16,0.011275,0.005806,0.008227
2015-06-17,-0.001530,0.004282,0.002033
2015-06-18,0.012413,0.007384,0.010072
2015-06-19,-0.006001,-0.003987,-0.006071
2015-06-22,0.001398,0.004947,0.003204
2015-06-23,-0.000742,0.001004,-0.001349
2015-06-24,-0.010040,-0.005451,-0.007704
2015-06-25,0.005051,-0.008091,-0.002440
2015-06-26,-0.000837,0.001012,-0.000888
2015-06-29,-0.019311,-0.017197,-0.019786
2015-06-30,0.001669,0.001553,0.000782
2015-07-01,0.009780,0.011103,0.007135
2015-07-02,-0.004471,0.001505,-0.000540
2015-07-06,-0.001321,-0.002894,-0.004054
2015-07-07,-0.002559,0.006036,0.003722
2015-07-08,-0.014946,-0.007153,-0.013781
2015-07-09,0.000302,-0.001684,-0.001345
2015-07-10,0.015908,0.010557,0.012176
2015-07-13,0.010896,0.010250,0.010564
2015-07-14,0.005568,0.003304,0.005894
2015-07-15,0.003817,0.000495,0.000754
2015-07-16,0.004317,0.014547,0.005616
2015-07-17,0.000704,-0.002396,-0.001976
2015-07-20,0.002190,0.003644,0.000066
2015-07-21,-0.006049,0.000625,-0.004007
2015-07-22,-0.013338,-0.017683,-0.009520
2015-07-23,-0.001672,0.002568,-0.004131
2015-07-24,-0.010352,-0.005626,-0.010260
2015-07-27,-0.008420,-0.004523,-0.007362
2015-07-28,0.016216,0.005608,0.014258
2015-07-29,0.007142,0.011431,0.006643
2015-07-30,-0.001104,0.000956,-0.003206
2015-07-31,-0.000464,0.003022,-0.003620
2015-08-03,-0.003766,-0.002202,-0.002720
2015-08-04,-0.001557,-0.002873,-0.003168
2015-08-05,0.011423,0.009307,0.005031
2015-08-06,-0.009956,-0.003626,-0.003003
2015-08-07,0.002643,0.027300,0.004878
2015-08-10,0.014279,0.021984,0.016551
2015-08-11,-0.015201,-0.008939,-0.011480
2015-08-12,-0.000056,0.001816,0.001577
2015-08-13,-0.002171,-0.009230,-0.002919
2015-08-14,0.004717,0.003055,0.003108
2015-08-17,0.010291,0.003982,0.004897
2015-08-18,0.003397,0.000645,-0.000913
2015-08-19,-0.011155,-0.013457,-0.010020
2015-08-20,-0.020630,-0.020210,-0.016992
2015-08-21,-0.038794,-0.027101,-0.033472
2015-08-24,-0.037661,-0.038866,-0.038852
2015-08-25,-0.013703,-0.011506,-0.014933
2015-08-26,0.044414,0.041075,0.039633
2015-08-27,0.025565,0.026570,0.023736
2015-08-28,-0.002517,0.000070,0.000238
2015-08-31,-0.009970,-0.006451,-0.005705
2015-09-01,-0.032890,-0.031957,-0.031599
2015-09-02,0.022911,0.015455,0.017698
2015-09-03,-0.000576,0.005450,0.000567
2015-09-04,-0.017884,-0.021550,-0.018901
2015-09-08,0.032828,0.025733,0.024947
2015-09-09,-0.013206,-0.015574,-0.014324
2015-09-10,0.010732,0.007151,0.006383
2015-09-11,0.006601,0.003383,0.003927
2015-09-14,-0.002664,-0.001940,-0.001950
2015-09-15,0.014242,0.014467,0.014856
2015-09-16,0.006344,0.010637,0.008694
2015-09-17,0.003662,0.004991,-0.003777
2015-09-18,-0.012647,-0.006071,-0.015321
2015-09-21,0.006365,0.008693,0.007774
2015-09-22,-0.012208,-0.016274,-0.011546
2015-09-23,-0.002121,-0.003430,-0.004362
2015-09-24,-0.004167,0.006701,-0.004490
2015-09-25,-0.011542,0.010395,0.001926
2015-09-28,-0.017743,-0.014966,-0.016470
2015-09-29,0.009951,0.014276,0.004951
2015-09-30,0.019490,0.012808,0.013267
2015-10-01,-0.003094,-0.003249,-0.001919
2015-10-02,0.018121,0.010436,0.013200
2015-10-05,0.015089,0.028176,0.019337
2015-10-06,-0.007006,0.007415,0.000574
2015-10-07,0.007989,0.005365,0.006994
