Date,Markowitz MVO,Random Forest,Equal Weight
2015-02-02,1.012685,1.013280,1.014093
2015-02-03,1.023546,1.026582,1.029271
2015-02-04,1.022119,1.022518,1.025552
2015-02-05,1.033885,1.033272,1.036721
2015-02-06,1.024739,1.032307,1.034846
2015-02-09,1.019698,1.029585,1.032917
2015-02-10,1.032988,1.037984,1.042684
2015-02-11,1.037187,1.039529,1.043898
2015-02-12,1.044659,1.043995,1.054454
2015-02-13,1.050479,1.048971,1.057809
2015-02-17,1.052716,1.049450,1.059178
2015-02-18,1.053786,1.049502,1.056091
2015-02-19,1.054645,1.048689,1.052949
2015-02-20,1.063593,1.052148,1.059842
2015-02-23,1.072898,1.051065,1.060895
2015-02-24,1.073081,1.056216,1.064731
2015-02-25,1.067086,1.055746,1.062896
2015-02-26,1.070006,1.056816,1.062991
2015-02-27,1.064315,1.055781,1.060164
2015-03-02,1.074900,1.060452,1.066833
2015-03-03,1.065288,1.056208,1.061022
2015-03-04,1.063208,1.048750,1.055828
2015-03-05,1.067077,1.049307,1.057107
2015-03-06,1.051580,1.029970,1.039689
2015-03-09,1.061477,1.032742,1.044901
2015-03-10,1.046674,1.017063,1.029294
2015-03-11,1.040564,1.016354,1.027262
2015-03-12,1.050706,1.030976,1.039386
2015-03-13,1.047375,1.025038,1.034355
2015-03-16,1.064697,1.036682,1.047864
2015-03-17,1.063612,1.033822,1.044191
2015-03-18,1.076575,1.046846,1.057670
2015-03-19,1.076882,1.039595,1.050994
2015-03-20,1.081869,1.049919,1.059493
2015-03-23,1.077955,1.051338,1.057722
2015-03-24,1.070957,1.045719,1.050615
2015-03-25,1.043821,1.030138,1.032060
2015-03-26,1.043034,1.025622,1.029123
2015-03-27,1.048845,1.024514,1.030348
2015-03-30,1.065022,1.038627,1.046051
2015-03-31,1.050181,1.031074,1.034439
2015-04-01,1.043946,1.031275,1.033839
2015-04-02,1.046151,1.035897,1.037017
2015-04-06,1.057275,1.049084,1.047399
2015-04-07,1.057017,1.049172,1.045033
2015-04-08,1.058335,1.051161,1.045005
2015-04-09,1.067045,1.058369,1.049112
2015-04-10,1.072798,1.063292,1.054895
2015-04-13,1.065866,1.057404,1.050949
2015-04-14,1.064632,1.055906,1.054338
2015-04-15,1.064878,1.063421,1.060984
2015-04-16,1.069161,1.059867,1.061329
2015-04-17,1.053727,1.048567,1.049179
2015-04-20,1.062874,1.059361,1.058335
2015-04-21,1.060040,1.054469,1.053830
2015-04-22,1.064068,1.062441,1.059284
2015-04-23,1.067882,1.065360,1.060659
2015-04-24,1.078234,1.077513,1.066697
2015-04-27,1.077160,1.082299,1.066856
2015-04-28,1.080912,1.085974,1.070698
2015-04-29,1.066198,1.083340,1.065885
2015-04-30,1.052399,1.074162,1.055280
2015-05-01,1.067693,1.088589,1.066479
2015-05-04,1.068002,1.090056,1.068290
2015-05-05,1.052852,1.073351,1.056515
2015-05-06,1.045543,1.071612,1.051586
2015-05-07,1.053885,1.081118,1.056780
2015-05-08,1.057743,1.074654,1.063634
2015-05-11,1.051744,1.067329,1.058746
2015-05-12,1.050458,1.066733,1.055694
2015-05-13,1.058252,1.070473,1.058946
2015-05-14,1.078700,1.086014,1.072874
2015-05-15,1.079911,1.089093,1.075342
2015-05-18,1.083153,1.090039,1.075777
2015-05-19,1.083433,1.089720,1.075384
2015-05-20,1.084566,1.091737,1.076224
2015-05-21,1.082250,1.089032,1.076373
2015-05-22,1.076552,1.085724,1.073329
2015-05-26,1.065917,1.075891,1.063811
2015-05-27,1.083607,1.094088,1.074560
2015-05-28,1.085379,1.096697,1.074097
2015-05-29,1.077669,1.090695,1.066769
2015-06-01,1.079348,1.094201,1.069670
2015-06-02,1.072322,1.091293,1.066325
2015-06-03,1.073160,1.089091,1.067416
2015-06-04,1.065191,1.083482,1.060633
2015-06-05,1.062959,1.079576,1.059202
2015-06-08,1.056182,1.076770,1.056288
2015-06-09,1.057346,1.078078,1.057463
2015-06-10,1.066852,1.084444,1.067294
2015-06-11,1.070524,1.087398,1.070026
2015-06-12,1.057272,1.075483,1.060389
2015-06-15,1.054390,1.069531,1.054268
2015-06-16,1.065527,1.077218,1.062941
2015-06-17,1.064816,1.081424,1.065102
2015-06-18,1.078181,1.091484,1.075830
2015-06-19,1.071682,1.085545,1.069298
2015-06-22,1.073273,1.087358,1.072724
2015-06-23,1.070878,1.082127,1.071277
2015-06-24,1.061455,1.076757,1.063024
2015-06-25,1.065239,1.072330,1.060430
2015-06-26,1.063669,1.070781,1.059488
2015-06-29,1.043007,1.049450,1.038525
2015-06-30,1.044454,1.048847,1.039337
2015-07-01,1.054525,1.056281,1.046753
2015-07-02,1.050345,1.058134,1.046188
2015-07-06,1.048557,1.052772,1.041947
2015-07-07,1.046300,1.055626,1.045825
2015-07-08,1.030753,1.044362,1.031413
2015-07-09,1.030943,1.038676,1.030026
2015-07-10,1.046840,1.051324,1.042567
2015-07-13,1.058789,1.064425,1.053581
2015-07-14,1.063812,1.068020,1.059791
2015-07-15,1.067785,1.068814,1.060591
2015-07-16,1.073316,1.082754,1.066547
2015-07-17,1.074056,1.080939,1.064440
2015-07-20,1.076915,1.084176,1.064511
2015-07-21,1.071254,1.081654,1.060246
2015-07-22,1.056791,1.056592,1.050152
2015-07-23,1.055586,1.053989,1.045815
2015-07-24,1.044770,1.046923,1.035084
2015-07-27,1.035433,1.038964,1.027464
2015-07-28,1.050678,1.049211,1.042114
2015-07-29,1.058570,1.057994,1.049037
2015-07-30,1.057981,1.060975,1.045674
2015-07-31,1.056882,1.060209,1.041888
2015-08-03,1.053102,1.054865,1.039055
2015-08-04,1.051306,1.045905,1.035763
2015-08-05,1.062043,1.050807,1.040974
2015-08-06,1.051591,1.050183,1.037848
2015-08-07,1.056060,1.058405,1.042911
2015-08-10,1.071946,1.079861,1.060172
2015-08-11,1.054833,1.067893,1.048002
2015-08-12,1.054846,1.072951,1.049654
2015-08-13,1.052951,1.066684,1.046591
2015-08-14,1.057941,1.068783,1.049843
2015-08-17,1.067819,1.073462,1.054984
2015-08-18,1.070568,1.072379,1.054021
2015-08-19,1.059125,1.061336,1.043459
2015-08-20,1.037330,1.044920,1.025729
2015-08-21,0.996157,1.013110,0.991395
2015-08-24,0.958829,0.976275,0.952878
2015-08-25,0.945540,0.962926,0.938648
2015-08-26,0.989059,1.001145,0.975850
2015-08-27,1.014104,1.025185,0.999012
2015-08-28,1.011598,1.025272,0.999250
2015-08-31,1.002106,1.019712,0.993549
2015-09-01,0.968953,0.986897,0.962154
2015-09-02,0.991709,1.003935,0.979182
2015-09-03,0.990574,1.004312,0.979737
2015-09-04,0.972886,0.987368,0.961220
2015-09-08,1.004678,1.013210,0.985200
2015-09-09,0.990319,1.000579,0.971088
2015-09-10,1.000772,1.009833,0.977286
2015-09-11,1.006905,1.015777,0.981123
2015-09-14,1.004947,1.013890,0.979210
2015-09-15,1.019014,1.028924,0.993758
2015-09-16,1.025098,1.038055,1.002398
2015-09-17,1.028155,1.037505,0.998612
2015-09-18,1.015414,1.028577,0.983312
2015-09-21,1.021805,1.038112,0.990956
2015-09-22,1.009780,1.024448,0.979514
2015-09-23,1.008115,1.021082,0.975241
2015-09-24,1.005353,1.023648,0.970862
2015-09-25,0.995133,1.022689,0.972732
2015-09-28,0.979415,1.003537,0.956711
2015-09-29,0.988972,1.007902,0.961447
2015-09-30,1.007777,1.018707,0.974203
