,Turnover_Markowitz,Turnover_RF
2015-01-31,0.0000,0.0000
2015-02-28,0.0643,0.3000
2015-03-31,0.0210,0.3000
2015-04-30,0.0982,0.3000
2015-05-31,0.0588,0.3000
2015-06-30,0.0675,0.3000
2015-07-31,0.0710,0.3000
2015-08-31,0.1382,0.3000
2015-09-30,0.0552,0.3000
2015-10-31,0.0180,0.3000
2015-11-30,0.0123,0.3000
2015-12-31,0.0449,0.3000
2016-01-31,0.0992,0.3000
2016-02-29,0.0629,0.3000
2016-03-31,0.0652,0.3000
2016-04-30,0.1841,0.3000
2016-05-31,0.0653,0.3000
2016-06-30,0.1454,0.3000
2016-07-31,0.2536,0.3000
2016-08-31,0.0783,0.3000
2016-09-30,0.0797,0.3000
2016-10-31,0.0475,0.3000
2016-11-30,0.1231,0.3000
2016-12-31,0.0622,0.3000
2017-01-31,0.1979,0.3000
2017-02-28,0.0984,0.2292
2017-03-31,0.0954,0.1835
2017-04-30,0.1659,0.3000
2017-05-31,0.1480,0.3000
2017-06-30,0.1807,0.3000
2017-07-31,0.1379,0.3000
2017-08-31,0.1445,0.3000
2017-09-30,0.1448,0.2819
2017-10-31,0.1385,0.2610
2017-11-30,0.0900,0.3000
2017-12-31,0.2145,0.2907
2018-01-31,0.2419,0.3000
2018-02-28,0.0797,0.3000
2018-03-31,0.0467,0.3000
2018-04-30,0.1369,0.3000
2018-05-31,0.1379,0.3000
2018-06-30,0.1223,0.3000
2018-07-31,0.0657,0.3000
2018-08-31,0.0961,0.3000
2018-09-30,0.1382,0.3000
2018-10-31,0.2377,0.3000
2018-11-30,0.1778,0.3000
2018-12-31,0.2403,0.3000
2019-01-31,0.3633,0.3000
2019-02-28,0.1746,0.3000
2019-03-31,0.1112,0.3000
2019-04-30,0.1545,0.3000
2019-05-31,0.2141,0.3000
2019-06-30,0.1400,0.3000
2019-07-31,0.1884,0.3000
2019-08-31,0.0979,0.3000
2019-09-30,0.1187,0.3000
2019-10-31,0.1195,0.3000
2019-11-30,0.1195,0.2570
2019-12-31,0.1277,0.3000
2020-01-31,0.1963,0.3000
2020-02-29,0.1589,0.3000
2020-03-31,0.2630,0.3000
2020-04-30,0.2022,0.2887
2020-05-31,0.1074,0.3000
2020-06-30,0.2188,0.3000
2020-07-31,0.1864,0.3000
2020-08-31,0.0904,0.3000
2020-09-30,0.0531,0.3000
2020-10-31,0.1570,0.3000
2020-11-30,0.1112,0.1372
2020-12-31,0.1109,0.2873
2021-01-31,0.1751,0.2239
2021-02-28,0.1062,0.2239
2021-03-31,0.1359,0.2275
2021-04-30,0.1381,0.3000
2021-05-31,0.0689,0.3000
2021-06-30,0.1276,0.3000
2021-07-31,0.0892,0.2000
2021-08-31,0.0358,0.2817
2021-09-30,0.0154,0.3000
2021-10-31,0.2000,0.3000
2021-11-30,0.0629,0.3000
2021-12-31,0.0948,0.3000
2022-01-31,0.0422,0.3000
2022-02-28,0.0422,0.3000
2022-03-31,0.1433,0.3000
2022-04-30,0.2483,0.3000
2022-05-31,0.3204,0.3000
2022-06-30,0.1849,0.3000
2022-07-31,0.0984,0.3000
2022-08-31,0.1041,0.3000
2022-09-30,0.0955,0.3000
2022-10-31,0.1148,0.3000
2022-11-30,0.0799,0.3000
2022-12-31,0.1348,0.3000
2023-01-31,0.0784,0.3000
2023-02-28,0.0724,0.3000
2023-03-31,0.1658,0.3000
2023-04-30,0.1302,0.3000
2023-05-31,0.1426,0.3000
2023-06-30,0.1965,0.3000
2023-07-31,0.1222,0.2401
2023-08-31,0.0823,0.3000
2023-09-30,0.1614,0.3000
2023-10-31,0.2116,0.3000
2023-11-30,0.1404,0.3000
2023-12-31,0.1613,0.3000
2024-01-31,0.2599,0.3000
2024-02-29,0.1895,0.3000
2024-03-31,0.0808,0.3000
2024-04-30,0.1182,0.3000
2024-05-31,0.0789,0.3000
2024-06-30,0.0516,0.3000
2024-07-31,0.1932,0.3000
2024-08-31,0.0802,0.3000
2024-09-30,0.0595,0.3000
2024-10-31,0.1484,0.3000
2024-11-30,0.1190,0.3000
