Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-02-02,1.012686,1.013477,1.014093,1.013811
2015-02-03,1.023546,1.027445,1.029271,1.028188
2015-02-04,1.022119,1.023283,1.025552,1.024672
2015-02-05,1.033885,1.034698,1.036721,1.035345
2015-02-06,1.024739,1.033526,1.034845,1.033216
2015-02-09,1.019698,1.030552,1.032917,1.030916
2015-02-10,1.032988,1.039130,1.042684,1.040559
2015-02-11,1.037187,1.039765,1.043898,1.041861
2015-02-12,1.044659,1.047063,1.054454,1.050571
2015-02-13,1.050479,1.052018,1.057809,1.053534
2015-02-17,1.052717,1.052524,1.059178,1.054507
2015-02-18,1.053786,1.052274,1.056091,1.051897
2015-02-19,1.054645,1.052072,1.052949,1.048833
2015-02-20,1.063593,1.055413,1.059842,1.054775
2015-02-23,1.072898,1.053176,1.060895,1.056041
2015-02-24,1.073081,1.058209,1.064731,1.059472
2015-02-25,1.067086,1.057911,1.062896,1.057677
2015-02-26,1.070006,1.058330,1.062991,1.058013
2015-02-27,1.064315,1.057321,1.060164,1.056138
2015-03-02,1.074900,1.063908,1.066832,1.062144
2015-03-03,1.065288,1.058076,1.061022,1.056635
2015-03-04,1.063208,1.050729,1.055828,1.050897
2015-03-05,1.067077,1.053612,1.057107,1.051852
2015-03-06,1.051580,1.032585,1.039689,1.034327
2015-03-09,1.061477,1.034255,1.044901,1.038863
2015-03-10,1.046674,1.020881,1.029294,1.023261
2015-03-11,1.040564,1.018988,1.027262,1.020766
2015-03-12,1.050706,1.033970,1.039386,1.033370
2015-03-13,1.047375,1.025439,1.034355,1.028065
2015-03-16,1.064696,1.038305,1.047864,1.041520
2015-03-17,1.063612,1.034614,1.044191,1.037728
2015-03-18,1.076576,1.045664,1.057670,1.051199
2015-03-19,1.076882,1.038144,1.050994,1.044244
2015-03-20,1.081869,1.050082,1.059493,1.052487
2015-03-23,1.077955,1.049893,1.057722,1.051748
2015-03-24,1.070957,1.043066,1.050615,1.044663
2015-03-25,1.043821,1.028702,1.032060,1.027628
2015-03-26,1.043034,1.023751,1.029123,1.024427
2015-03-27,1.048845,1.023791,1.030348,1.025161
2015-03-30,1.065022,1.036471,1.046051,1.040453
2015-03-31,1.050181,1.028910,1.034439,1.029477
2015-04-01,1.043946,1.029084,1.033839,1.028843
2015-04-02,1.046151,1.033153,1.037017,1.032287
2015-04-06,1.057275,1.046219,1.047399,1.042110
2015-04-07,1.057018,1.044931,1.045033,1.039415
2015-04-08,1.058335,1.046650,1.045005,1.039357
2015-04-09,1.067045,1.051707,1.049112,1.042933
2015-04-10,1.072798,1.056290,1.054895,1.048290
2015-04-13,1.065866,1.049964,1.050948,1.044229
2015-04-14,1.064632,1.048387,1.054338,1.047231
2015-04-15,1.064878,1.053661,1.060983,1.052898
2015-04-16,1.069161,1.051230,1.061329,1.053239
2015-04-17,1.053727,1.040805,1.049178,1.041790
2015-04-20,1.062874,1.049580,1.058335,1.050887
2015-04-21,1.060040,1.045881,1.053830,1.046953
2015-04-22,1.064068,1.050785,1.059284,1.052209
2015-04-23,1.067882,1.050804,1.060659,1.053085
2015-04-24,1.078234,1.059566,1.066697,1.058356
2015-04-27,1.077160,1.063372,1.066856,1.058570
2015-04-28,1.080912,1.064370,1.070698,1.061706
2015-04-29,1.066197,1.060125,1.065885,1.056688
2015-04-30,1.052398,1.049515,1.055280,1.046319
2015-05-01,1.067693,1.062693,1.066479,1.057228
2015-05-04,1.068001,1.064036,1.068290,1.058814
2015-05-05,1.052852,1.049096,1.056515,1.047516
2015-05-06,1.045543,1.047796,1.051586,1.042922
2015-05-07,1.053884,1.056503,1.056780,1.047613
2015-05-08,1.057743,1.055775,1.063634,1.055133
2015-05-11,1.051744,1.048413,1.058746,1.049660
2015-05-12,1.050458,1.047245,1.055694,1.046334
2015-05-13,1.058252,1.050075,1.058946,1.049128
2015-05-14,1.078700,1.066091,1.072874,1.062766
2015-05-15,1.079911,1.070471,1.075342,1.065525
2015-05-18,1.083153,1.070587,1.075777,1.065594
2015-05-19,1.083433,1.070828,1.075384,1.065271
2015-05-20,1.084566,1.072523,1.076224,1.066053
2015-05-21,1.082250,1.068548,1.076373,1.066183
2015-05-22,1.076552,1.064222,1.073329,1.062971
2015-05-26,1.065917,1.054351,1.063811,1.053696
2015-05-27,1.083607,1.069851,1.074560,1.063140
2015-05-28,1.085379,1.071477,1.074098,1.062851
2015-05-29,1.077669,1.064030,1.066769,1.055751
2015-06-01,1.079348,1.067317,1.069670,1.058189
2015-06-02,1.072322,1.065722,1.066325,1.055234
2015-06-03,1.073160,1.065167,1.067416,1.056098
2015-06-04,1.065191,1.057223,1.060633,1.048784
2015-06-05,1.062959,1.054104,1.059202,1.046081
2015-06-08,1.056182,1.054188,1.056288,1.043976
2015-06-09,1.057346,1.055794,1.057463,1.045319
2015-06-10,1.066852,1.067622,1.067294,1.054536
2015-06-11,1.070524,1.069327,1.070026,1.057157
