Date,Markowitz MVO,Random Forest,Equal Weight,Risk Parity
2015-02-02,0.012686,0.013477,0.014093,0.013811
2015-02-03,0.010724,0.013783,0.014967,0.014182
2015-02-04,-0.001395,-0.004050,-0.003613,-0.003420
2015-02-05,0.011511,0.011155,0.010890,0.010416
2015-02-06,-0.008846,-0.001132,-0.001809,-0.002056
2015-02-09,-0.004919,-0.002877,-0.001863,-0.002226
2015-02-10,0.013034,0.008323,0.009456,0.009353
2015-02-11,0.004065,0.000611,0.001164,0.001251
2015-02-12,0.007204,0.007019,0.010112,0.008360
2015-02-13,0.005571,0.004732,0.003182,0.002820
2015-02-17,0.002130,0.000481,0.001294,0.000924
2015-02-18,0.001016,-0.000237,-0.002914,-0.002476
2015-02-19,0.000815,-0.000192,-0.002975,-0.002913
2015-02-20,0.008484,0.003175,0.006546,0.005666
2015-02-23,0.008749,-0.002120,0.000994,0.001200
2015-02-24,0.000171,0.004779,0.003616,0.003249
2015-02-25,-0.005587,-0.000281,-0.001724,-0.001694
2015-02-26,0.002737,0.000396,0.000090,0.000318
2015-02-27,-0.005319,-0.000953,-0.002659,-0.001772
2015-03-02,0.009945,0.006229,0.006290,0.005686
2015-03-03,-0.008942,-0.005482,-0.005447,-0.005186
2015-03-04,-0.001952,-0.006943,-0.004895,-0.005431
2015-03-05,0.003639,0.002743,0.001212,0.000909
2015-03-06,-0.014522,-0.019957,-0.016477,-0.016662
2015-03-09,0.009411,0.001618,0.005013,0.004386
2015-03-10,-0.013946,-0.012931,-0.014936,-0.015018
2015-03-11,-0.005837,-0.001855,-0.001974,-0.002439
2015-03-12,0.009747,0.014703,0.011802,0.012348
2015-03-13,-0.003171,-0.008251,-0.004841,-0.005134
2015-03-16,0.016538,0.012546,0.013061,0.013088
2015-03-17,-0.001019,-0.003554,-0.003506,-0.003641
2015-03-18,0.012188,0.010680,0.012908,0.012981
2015-03-19,0.000285,-0.007191,-0.006312,-0.006616
2015-03-20,0.004631,0.011499,0.008086,0.007893
2015-03-23,-0.003618,-0.000180,-0.001671,-0.000702
2015-03-24,-0.006492,-0.006503,-0.006719,-0.006736
2015-03-25,-0.025338,-0.013770,-0.017661,-0.016307
2015-03-26,-0.000754,-0.004813,-0.002845,-0.003115
2015-03-27,0.005571,0.000039,0.001190,0.000717
2015-03-30,0.015423,0.012385,0.015240,0.014917
2015-03-31,-0.013935,-0.007294,-0.011101,-0.010549
2015-04-01,-0.005938,0.000169,-0.000580,-0.000616
2015-04-02,0.002112,0.003954,0.003074,0.003348
2015-04-06,0.010633,0.012647,0.010011,0.009515
2015-04-07,-0.000243,-0.001232,-0.002259,-0.002586
2015-04-08,0.001247,0.001646,-0.000027,-0.000056
2015-04-09,0.008230,0.004831,0.003931,0.003440
2015-04-10,0.005391,0.004357,0.005512,0.005136
2015-04-13,-0.006462,-0.005988,-0.003741,-0.003873
