date,turnover_mvo,turnover_rf,turnover_rp,turnover_ew
2015-01-31,1.0000,1.0000,1.0000,1.0000
2015-02-28,0.0620,0.3041,0.0185,0.0182
2015-03-31,0.0475,0.3110,0.0151,0.0131
2015-04-30,0.0975,0.3240,0.0228,0.0240
2015-05-31,0.0528,0.3121,0.0135,0.0132
2015-06-30,0.0774,0.3125,0.0112,0.0127
2015-07-31,0.0630,0.3199,0.0146,0.0175
2015-08-31,0.1197,0.3108,0.0187,0.0150
2015-09-30,0.0780,0.3113,0.0188,0.0212
2015-10-31,0.0213,0.3040,0.0147,0.0130
2015-11-30,0.0297,0.3143,0.0110,0.0121
2015-12-31,0.0614,0.3210,0.0202,0.0208
2016-01-31,0.1411,0.3074,0.0223,0.0246
2016-02-29,0.0878,0.3015,0.0180,0.0178
2016-03-31,0.0530,0.3099,0.0192,0.0164
2016-04-30,0.2000,0.3075,0.0232,0.0226
2016-05-31,0.1399,0.3294,0.0235,0.0256
2016-06-30,0.1538,0.3054,0.0142,0.0189
2016-07-31,0.2258,0.3204,0.0240,0.0251
2016-08-31,0.1050,0.3149,0.0160,0.0169
2016-09-30,0.0926,0.3182,0.0161,0.0161
2016-10-31,0.0385,0.3139,0.0191,0.0187
2016-11-30,0.1426,0.3379,0.0361,0.0398
2016-12-31,0.0753,0.3203,0.0149,0.0156
2017-01-31,0.1812,0.3106,0.0186,0.0183
2017-02-28,0.0952,0.3190,0.0189,0.0191
2017-03-31,0.0811,0.1853,0.0115,0.0134
2017-04-30,0.1697,0.2355,0.0172,0.0182
2017-05-31,0.1729,0.3080,0.0223,0.0259
2017-06-30,0.1776,0.3162,0.0148,0.0164
2017-07-31,0.1426,0.3192,0.0145,0.0138
2017-08-31,0.1346,0.3002,0.0133,0.0121
2017-09-30,0.1414,0.2326,0.0166,0.0166
2017-10-31,0.1400,0.2268,0.0192,0.0205
2017-11-30,0.0920,0.3147,0.0132,0.0119
2017-12-31,0.2421,0.3030,0.0143,0.0124
2018-01-31,0.2206,0.2418,0.0181,0.0215
2018-02-28,0.0946,0.3099,0.0194,0.0194
2018-03-31,0.0414,0.3082,0.0082,0.0124
2018-04-30,0.1450,0.3174,0.0189,0.0178
2018-05-31,0.1455,0.2942,0.0178,0.0205
2018-06-30,0.1182,0.3288,0.0145,0.0168
2018-07-31,0.0583,0.3064,0.0152,0.0137
2018-08-31,0.0979,0.3176,0.0184,0.0239
2018-09-30,0.1155,0.3091,0.0146,0.0135
2018-10-31,0.2387,0.3000,0.0294,0.0344
2018-11-30,0.2062,0.3405,0.0291,0.0393
2018-12-31,0.1955,0.3015,0.0154,0.0198
2019-01-31,0.3158,0.3104,0.0184,0.0170
2019-02-28,0.1809,0.3151,0.0218,0.0184
2019-03-31,0.0995,0.3138,0.0144,0.0151
2019-04-30,0.1346,0.3190,0.0188,0.0197
2019-05-31,0.1952,0.3041,0.0225,0.0284
2019-06-30,0.1399,0.3072,0.0140,0.0170
2019-07-31,0.1661,0.3170,0.0208,0.0186
2019-08-31,0.0984,0.3133,0.0189,0.0193
2019-09-30,0.1133,0.3080,0.0130,0.0110
2019-10-31,0.1274,0.3181,0.0201,0.0225
2019-11-30,0.1616,0.3092,0.0158,0.0120
2019-12-31,0.1158,0.3020,0.0135,0.0111
2020-01-31,0.1868,0.3188,0.0224,0.0243
2020-02-29,0.1855,0.3133,0.0189,0.0227
2020-03-31,0.2728,0.3155,0.0520,0.0423
2020-04-30,0.1457,0.3205,0.0196,0.0217
2020-05-31,0.0761,0.3076,0.0169,0.0194
2020-06-30,0.1795,0.3127,0.0203,0.0236
2020-07-31,0.2437,0.3173,0.0204,0.0228
2020-08-31,0.0953,0.2918,0.0225,0.0265
2020-09-30,0.0983,0.3107,0.0171,0.0185
2020-10-31,0.1202,0.3050,0.0139,0.0156
2020-11-30,0.0988,0.2937,0.0305,0.0278
2020-12-31,0.1385,0.3003,0.0192,0.0178
2021-01-31,0.2024,0.3003,0.0263,0.0251
2021-02-28,0.0767,0.2270,0.0350,0.0361
2021-03-31,0.1880,0.3103,0.0178,0.0178
2021-04-30,0.1429,0.3086,0.0167,0.0173
2021-05-31,0.0402,0.3068,0.0140,0.0139
2021-06-30,0.1025,0.3208,0.0251,0.0292
2021-07-31,0.0713,0.2212,0.0180,0.0203
2021-08-31,0.0601,0.0622,0.0165,0.0182
2021-09-30,0.0315,0.2258,0.0169,0.0180
2021-10-31,0.1299,0.3012,0.0237,0.0247
2021-11-30,0.0772,0.2688,0.0264,0.0310
2021-12-31,0.1166,0.3211,0.0226,0.0246
2022-01-31,0.0833,0.3432,0.0274,0.0289
2022-02-28,0.0499,0.3130,0.0144,0.0157
2022-03-31,0.1986,0.3159,0.0258,0.0256
2022-04-30,0.2525,0.3029,0.0304,0.0350
2022-05-31,0.2563,0.3336,0.0287,0.0299
2022-06-30,0.1962,0.2984,0.0267,0.0284
2022-07-31,0.1626,0.3134,0.0340,0.0302
2022-08-31,0.1186,0.3041,0.0155,0.0175
2022-09-30,0.1181,0.3056,0.0189,0.0208
2022-10-31,0.0578,0.3131,0.0321,0.0335
2022-11-30,0.1060,0.3055,0.0219,0.0230
2022-12-31,0.1044,0.3138,0.0167,0.0195
2023-01-31,0.1032,0.3048,0.0324,0.0335
2023-02-28,0.0833,0.3283,0.0205,0.0244
2023-03-31,0.1218,0.3191,0.0413,0.0292
2023-04-30,0.1465,0.3115,0.0146,0.0114
2023-05-31,0.1062,0.3494,0.0329,0.0349
2023-06-30,0.1561,0.3013,0.0217,0.0186
2023-07-31,0.1138,0.2263,0.0173,0.0198
2023-08-31,0.1008,0.3089,0.0161,0.0171
2023-09-30,0.1667,0.3034,0.0185,0.0186
2023-10-31,0.2084,0.3341,0.0322,0.0304
2023-11-30,0.1451,0.2991,0.0232,0.0187
2023-12-31,0.1700,0.3200,0.0285,0.0296
2024-01-31,0.2463,0.3308,0.0263,0.0260
2024-02-29,0.2026,0.3325,0.0221,0.0264
2024-03-31,0.1181,0.1671,0.0184,0.0197
2024-04-30,0.1019,0.3116,0.0191,0.0214
2024-05-31,0.0984,0.3162,0.0164,0.0216
2024-06-30,0.0679,0.3116,0.0142,0.0165
2024-07-31,0.1616,0.3222,0.0233,0.0239
2024-08-31,0.0662,0.3056,0.0096,0.0100
2024-09-30,0.0431,0.3115,0.0143,0.0136
2024-10-31,0.1612,0.3076,0.0165,0.0203
2024-11-30,0.0799,0.3204,0.0249,0.0203
