,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.0214,0.0667,0.0502,0.0667,0.0000,0.0283,0.0667,0.2000,0.1244,0.0000,0.0667,0.0667,0.0667,0.0000,0.1756
2015-02-28,0.0000,0.0000,0.0502,0.0667,0.0000,0.0000,0.0000,0.1498,0.2000,0.0000,0.0000,0.0667,0.0667,0.2000,0.2000
2015-03-31,0.0630,0.0872,0.2000,0.0667,0.0000,0.0000,0.0000,0.1498,0.0252,0.0000,0.0000,0.0667,0.0667,0.0748,0.2000
2015-04-30,0.0649,0.0463,0.1410,0.0667,0.2000,0.0000,0.0000,0.1498,0.0252,0.0000,0.0000,0.0667,0.0667,0.1729,0.0000
2015-05-31,0.0649,0.0463,0.0000,0.0667,0.1076,0.0000,0.0000,0.1498,0.0252,0.1000,0.2000,0.0000,0.0667,0.1729,0.0000
2015-06-30,0.1456,0.2000,0.0656,0.0354,0.0000,0.0000,0.0000,0.0000,0.0252,0.0965,0.2000,0.0000,0.0667,0.1651,0.0000
2015-07-31,0.1456,0.0000,0.0427,0.0354,0.1000,0.0000,0.0000,0.2000,0.0252,0.0965,0.2000,0.0000,0.0667,0.0879,0.0000
2015-08-31,0.1456,0.0000,0.0427,0.0354,0.1523,0.0000,0.0000,0.2000,0.0252,0.0324,0.0000,0.0000,0.0308,0.1356,0.2000
2015-09-30,0.1089,0.0000,0.0427,0.0354,0.1523,0.0000,0.2000,0.0000,0.0252,0.0324,0.1000,0.0000,0.0308,0.0723,0.2000
2015-10-31,0.0825,0.0000,0.2000,0.0000,0.1950,0.0000,0.0000,0.0000,0.0252,0.0250,0.2000,0.0000,0.0000,0.0723,0.2000
2015-11-30,0.0800,0.2000,0.2000,0.0000,0.1950,0.0621,0.0379,0.0000,0.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.2000
2015-12-31,0.2000,0.2000,0.2000,0.0448,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1351,0.2000
