,AAPL,MSFT,NVDA,JNJ,UNH,JPM,GS,PG,KO,XOM,CAT,HON,VZ,PLD,LIN
2015-01-31,0.0692,0.0549,0.0539,0.0747,0.0607,0.0521,0.0512,0.0887,0.0844,0.0700,0.0580,0.0569,0.0850,0.0663,0.0740
2015-02-28,0.0694,0.0551,0.0527,0.0753,0.0610,0.0519,0.0510,0.0888,0.0852,0.0687,0.0576,0.0568,0.0847,0.0674,0.0743
2015-03-31,0.0695,0.0564,0.0541,0.0742,0.0606,0.0525,0.0510,0.0869,0.0851,0.0697,0.0575,0.0567,0.0843,0.0669,0.0745
2015-04-30,0.0686,0.0552,0.0543,0.0746,0.0607,0.0529,0.0514,0.0872,0.0855,0.0698,0.0572,0.0565,0.0845,0.0668,0.0747
2015-05-31,0.0672,0.0548,0.0545,0.0744,0.0605,0.0533,0.0518,0.0871,0.0858,0.0700,0.0581,0.0564,0.0851,0.0664,0.0745
2015-06-30,0.0674,0.0547,0.0545,0.0740,0.0605,0.0535,0.0519,0.0868,0.0857,0.0704,0.0588,0.0568,0.0844,0.0662,0.0744
2015-07-31,0.0664,0.0554,0.0547,0.0745,0.0604,0.0541,0.0525,0.0865,0.0861,0.0698,0.0583,0.0568,0.0844,0.0669,0.0732
2015-08-31,0.0634,0.0547,0.0532,0.0745,0.0604,0.0544,0.0537,0.0856,0.0887,0.0670,0.0605,0.0575,0.0841,0.0661,0.0761
2015-09-30,0.0629,0.0544,0.0528,0.0756,0.0607,0.0541,0.0537,0.0855,0.0902,0.0666,0.0607,0.0572,0.0839,0.0664,0.0753
2015-10-31,0.0629,0.0536,0.0530,0.0758,0.0628,0.0544,0.0537,0.0858,0.0900,0.0662,0.0599,0.0572,0.0834,0.0670,0.0743
2015-11-30,0.0628,0.0540,0.0526,0.0761,0.0627,0.0543,0.0538,0.0859,0.0903,0.0651,0.0597,0.0576,0.0838,0.0670,0.0743
2015-12-31,0.0628,0.0543,0.0530,0.0764,0.0633,0.0539,0.0529,0.0857,0.0895,0.0651,0.0598,0.0577,0.0834,0.0674,0.0747
2016-01-31,0.0623,0.0533,0.0526,0.0760,0.0643,0.0531,0.0526,0.0865,0.0918,0.0640,0.0594,0.0575,0.0846,0.0672,0.0748
2016-02-29,0.0627,0.0535,0.0517,0.0770,0.0646,0.0520,0.0524,0.0871,0.0936,0.0641,0.0583,0.0582,0.0843,0.0671,0.0735
2016-03-31,0.0624,0.0535,0.0515,0.0778,0.0647,0.0518,0.0523,0.0879,0.0940,0.0646,0.0578,0.0579,0.0850,0.0661,0.0727
2016-04-30,0.0629,0.0534,0.0515,0.0781,0.0647,0.0516,0.0515,0.0880,0.0959,0.0644,0.0575,0.0583,0.0837,0.0659,0.0725
2016-05-31,0.0621,0.0532,0.0517,0.0787,0.0644,0.0515,0.0514,0.0884,0.0959,0.0647,0.0570,0.0587,0.0842,0.0659,0.0723
2016-06-30,0.0612,0.0522,0.0507,0.0800,0.0649,0.0501,0.0509,0.0898,0.0971,0.0649,0.0550,0.0591,0.0877,0.0668,0.0698
2016-07-31,0.0615,0.0522,0.0502,0.0801,0.0655,0.0499,0.0507,0.0900,0.0973,0.0648,0.0549,0.0592,0.0875,0.0670,0.0693
2016-08-31,0.0611,0.0528,0.0497,0.0803,0.0655,0.0500,0.0509,0.0904,0.0971,0.0642,0.0546,0.0595,0.0878,0.0670,0.0692
2016-09-30,0.0608,0.0531,0.0492,0.0807,0.0653,0.0507,0.0511,0.0899,0.0964,0.0640,0.0547,0.0600,0.0875,0.0669,0.0697
2016-10-31,0.0600,0.0529,0.0484,0.0817,0.0649,0.0510,0.0511,0.0904,0.0963,0.0634,0.0547,0.0598,0.0882,0.0673,0.0699
2016-11-30,0.0601,0.0531,0.0465,0.0822,0.0652,0.0517,0.0515,0.0901,0.0958,0.0640,0.0547,0.0603,0.0873,0.0674,0.0700
2016-12-31,0.0595,0.0529,0.0457,0.0832,0.0661,0.0520,0.0516,0.0901,0.0959,0.0642,0.0544,0.0601,0.0874,0.0671,0.0697
